file,file_size_bytes,regex_time_us,lsp_time_ms,regex_count,lsp_count,matched_count,jaccard_index,precision,recall,f1_score,regex_only,lsp_only
../../rust/src/analyzers/generic.rs,19877,826,62,43,114,39,0.5909090909090909,1.0,0.5909090909090909,0.7428571428571429,,"extra_patterns, documentation_pattern, line_num, mut imports, impl GenericAnalyzer, result, impl AnalyzerConfig, fn_name, category, class_pattern, entry_point_pattern, impl LanguageAnalyzer for GenericAnalyzer, js_analyzer, mut has_documentation, import_pattern, mut result, lines, marker_pattern, analyzer, mut entry_points, mut functions, config, mut markers, content, extensions, function_pattern, mut classes"
../../rust/src/analyzers/mod.rs,2584,256,53,10,23,9,0.391304347826087,1.0,0.391304347826087,0.5625,,"documentation, critical_sections, imports, structure_ranges, markers, category, entry_points, impl AnalysisResult, config_keys, functions, language, classes, path, ext"
../../rust/src/analyzers/rust_analyzer.rs,5946,154,61,14,35,11,0.3793103448275862,1.0,0.3793103448275862,0.5499999999999999,,"mut structs, mut functions, mut entry_points, fn_name, mut uses, category, mut enums, mut markers, lines, line_num, result, content, mut result, impl LanguageAnalyzer for RustAnalyzer, impl Default for RustAnalyzer, mut traits, analyzer, impl RustAnalyzer"
../../rust/src/core/mod.rs,1620,73,54,10,10,10,1.0,1.0,1.0,1.0,,
../../rust/src/core/engine.rs,55902,3820,68,74,249,70,0.47619047619047616,1.0,0.47619047619047616,0.6451612903225806,,"is_desc, alloc_only, walker, attention_entries, ext, allocator, level, fname_lower, mut processed, full_tokens, path_lower, s, core_dirs, zoom_config, original_lines, mut config_files, mut config, config_count, skeletonizer, xml_config, file_path, sorted, config_tokens, kept_lines, mut core_files, mut used, Other, mut result, Core, entries, original_tokens, manifest, impl Default for ContextEngine, lines, result, mut writer, other_tokens, e_idx, allocations, config_names, final_files, mut stats, output, skeleton_enabled, processed, core_count, mut buffer, stats, level_map, zoom_action, mut other_files, impl ContextEngine, engine, tier, mut truncated, Config, serializer, skeleton_tokens, allocated, mut test_files, test_tokens, filtered, temp_dir, _pattern, impl BudgetStats, core_tokens, language, content, other_count, Tests, priority, files, impl FileTier, walk_config, test_count, zoom_cmd, alloc"
../../rust/src/core/error.rs,5364,252,58,22,59,19,0.4222222222222222,1.0,0.4222222222222222,0.59375,,"DirectoryNotFound, InvalidZoomTarget, target, name, path, WithContext, Json, InvalidConfig, io_err, LensNotFound, message, XmlError, source, impl EncoderError, Io, Utf8Error, budget, used, FileNotFound, wrapped, json_err, with_ctx, result, err, impl ResultExt<T> for Result<T>, BudgetExceeded"
../../rust/src/core/zoom.rs,36739,3446,70,101,243,85,0.5379746835443038,1.0,0.5379746835443038,0.6995884773662552,,"names, redone, entry, start, comment, end_line, undone, name, impl Drop for ZoomSessionStore, end, result, path, Module, active_session, version, timestamp, range, xml, mut store, temp_dir, direction, File, impl ZoomTarget, content, mut history, (kind, value), created_at, include_tests, impl Default for ZoomSessionStore, Collapse, Function, now, last_accessed, dir, action, budget, Full, context_lines, sessions, is_active, active_zooms, store_path, impl ZoomDepth, Signature, impl ZoomSessionStore, _, start_line, impl Default for ZoomConfig, Expand, command, impl Default for ZoomHistory, impl ZoomHistory, impl ZoomAction, mut session, suggested_budget, store, previous_depth, target_str, (_, prev_depth), history, impl ZoomSession, session, auto_save, parts, description, metadata, impl fmt::Display for ZoomTarget, target, Implementation, max_size, removed, depth, Class"
../../rust/src/core/models.rs,13466,760,59,47,106,35,0.38461538461538464,1.0,0.38461538461538464,0.5555555555555556,,"config, content, processed, metadata_mode, Markdown, md5, impl Default for EncoderConfig, impl OutputFormat, impl EncoderConfig, max_file_size, active_lens, allow_sensitive, hash, ctime, output_format, path, truncate_stats, priority, skeleton_mode, include_patterns, tokens, ignore_patterns, size, frozen, Enabled, truncated, impl ProcessedFile, stream, Xml, SizeOnly, All, ClaudeXml, compression_level, Skeleton, impl SkeletonMode, sort_order, ignore, truncate_summary, entry, include, truncate_exclude, Auto, impl MetadataMode, language, None, truncate_lines, truncate_mode, PlusMinus, sort_by, mtime, impl FileEntry, token_budget, Full, Drop, original_tokens, Disabled"
../../rust/src/core/search.rs,52640,7834,92,113,289,88,0.5116279069767442,0.9565217391304348,0.5238095238095238,0.6769230769230768,"main, process, test, std","qualifier, callers, path, usage, impl Default for CallGraphAnalyzer, full_expr, entries, call, indent, Function, target, name, pattern, method_str, symbol_type, Class, caps, xml, impl Default for SymbolResolver, ext, impl FunctionCall, location, results, captured_name, mut brace_count, end, impl RelatedContext, walker, test_cases, signature, impl Default for UsageFinder, loc, finder, trimmed, Struct, Enum, start_indent, impl SymbolResolver, func_str, usages, callees, resolver, names, root, module_str, line, impl UsageLocation, regex, mut results, analyzer, mut calls, config, impl std::fmt::Display for SymbolType, mut found_open, Trait, impl CallGraphAnalyzer, suggestion, result, ignore_patterns, calls, snippet, column, description, line_num, start_line, impl ZoomSuggestion, source, patterns, ctx, lines, mut usages, Module, mut result, impl UsageFinder, temp_dir, end_line, max_results, name_str, include_patterns, mut xml"
../../rust/src/core/store.rs,20156,1273,79,62,144,56,0.5656565656565656,1.0,0.5656565656565656,0.7225806451612903,,"hash1, path, impl Default for ContextStore, impl Default for FileUtility, key, static_component, temp_dir, impl FileUtility, bad_json, last_accessed, lens_profiles, learned_component, learned_score, new_utility, blended, mut hasher, clamped_utility, paths_hashed, learned_priorities, score, mut store, loaded, hash2, version, _, utility_under, file_utility, feedback, utility_over, mut utility, utility, store, before, clamped_alpha, tags, effectiveness_score, access_count, files, after, store_path, impl ContextStore, json, project_root"
../../rust/src/core/manifest.rs,9089,308,60,22,65,21,0.525,1.0,0.525,0.6885245901639345,,"Python, cargo_toml, tmp, manifest, package_json, types, canonical, mut root, mut current, Rust, Unknown, Go, Node, start, mut found_markers, Mixed, impl ProjectManifest, marker_path, manifest_files"
../../rust/src/core/walker.rs,29442,1467,101,66,172,51,0.49038461538461536,1.0,0.49038461538461536,0.6580645161290322,,"temp_dir, matcher, walk_entries, metadata, (mtime, ctime, size), s, root_path, result, impl DefaultWalker, check_len, smart_config, impl SmartWalker, ignore_patterns, impl FileWalker for SmartWalker, parallel, mut normalized, impl Default for WalkConfig, content, ctime, extra_excludes, entries, relative, sequential, (tx, rx), include_set, file_path, mtime, paths, follow_symlinks, is_file, include_patterns, include_hidden, tx, entry, _, mut file_entries, impl Default for SmartWalkConfig, tmp, impl FileWalker for DefaultWalker, max_depth, max_file_size, config, mut builder, name, impl Default for DefaultWalker, mut entries, path, bytes, respect_gitignore, size, (mtime, ctime), walker, relative_path"
../../rust/src/core/skeleton/parser.rs,26373,1325,63,19,84,16,0.3018867924528302,0.9411764705882353,0.3076923076923077,0.46376811594202905,hello,"next_indent, is_method, import_line, sig_line, line, indent, input, quote, lines, const_line, s, (skeleton_content, symbols), mut sig, mut brace_depth, close_braces, mut i, mut result, preserve_docstrings, mut in_docstring, result, original_tokens, mut pending_docstring, fallback_lines, next_line, impl Skeletonizer, mut in_struct_body, mut pending_attrs, mut class_indent_stack, open_braces, next_trimmed, trimmed, impl Default for Skeletonizer, ds_line, skeleton_tokens, mut symbols, def_indent"
../../rust/src/core/skeleton/allocator.rs,5715,153,57,12,34,11,0.4583333333333333,1.0,0.4583333333333333,0.6285714285714286,,"mut allocations, mut remaining_budget, result, budget, baseline_cost, current, files, impl AdaptiveAllocator, drop_order, upgrade_cost, upgrade_order, allocator, indices"
../../rust/src/core/skeleton/mod.rs,1342,93,56,4,4,4,1.0,1.0,1.0,1.0,,
../../rust/src/core/skeleton/types.rs,5622,2894,59,20,41,15,0.39473684210526316,1.0,0.39473684210526316,0.5660377358490566,,"result, Skeleton, TypeScript, Go, path, Python, Full, compression_ratio, Drop, impl FileAllocation, content, original_tokens, level, skeleton_tokens, impl Language, preserved_symbols, Rust, mut alloc, JavaScript, tier, impl Default for SkeletonResult, full_tokens, impl SkeletonResult"
../../rust/src/core/skeleton/tests.rs,32117,2223,70,102,209,55,0.5555555555555556,0.6043956043956044,0.873015873015873,0.7142857142857142,"Config, format_json, another_function, default_method, complex_function, add, very_long_function_name_that_goes_on_and_on, User, Container, fast_function, A, nested, broken, private_method, Callback, C, next_function, Output, get_name, E, Service, documented, Data, test_something, tests, call, main, Unit, B, Handler, fetch_data, after_nested, D, Status, new, EmptyBraces","mut lines, result_go, input, s, result_rust, result_js, result, result_py"
../../rust/src/core/serialization.rs,21652,6461,67,72,138,52,0.5714285714285714,1.0,0.5714285714285714,0.7272727272727273,,"mut output, ancient_mtime, attrs, result, serializer, old_mtime, age_days, md, impl PlusMinusSerializer, ext, mut value, xml, impl MarkdownSerializer, impl XmlSerializer, pm, impl Default for XmlSerializer, impl Serializer for XmlSerializer, mut unit_index, action, mtime, age_secs, output, impl Default for MarkdownSerializer, entry, datetime, lang, metadata, marker, impl Serializer for PlusMinusSerializer, skeleton_attr, impl Serializer for MarkdownSerializer, mut parts, time_str, mut marker, file, impl Default for PlusMinusSerializer, header, now, mut attrs"
../../rust/src/bin/mcp_server.rs,16255,395,80,17,73,15,0.25,1.0,0.25,0.4,,"end, (start, end), target_type, mut store, (selected, _report), target, tool_router, service, _quit_reason, lenses, response, reason, mut config, path, context, root, truncate_lines, token_budget, root_path, tool_context, strategy, files, line_range, output, current_score, server, target_name, lens, content, header, start, store_path, impl PmEncoderServer, engine, zoom_config, transport, depth, params, impl ServerHandler for PmEncoderServer, tool, utility, mut lens_manager, budget, selected_files, budget_strategy"
../../rust/src/bin/main.rs,54965,937,83,15,140,14,0.11382113821138211,0.9333333333333333,0.11475409836065574,0.20437956204379565,From,"store_path, session_store_path, files, target, Name, score, allow_sensitive, no_truncate_summary, zoom_undo, Drop, zoom, (start, end), mut s, init_lens, line, zoom_collapse, metadata, config, default_config, entries, token_budget, menu_items, Claude, (path, score_str, reason), mut zoom_config, truncate_exclude, health, (selected, report), truncate_summary, server, mut config, efficiency, start, names, Auto, zoom_count, Asc, Simple, budget, Gemini, engine, Hybrid, format, None, resolver, target_str, frozen, mut server, Xml, Smart, env_metadata_mode, file_count, report_utility, All, parts, PlusMinus, sort_order, module_patterns, range, sort_by, total_tokens, sessions, resolved_file, include, suggestions, cli, output, SizeOnly, mut lens_manager, mut output, skeleton, valid_calls, mut store, Truncate, name, project_root, ClaudeXml, truncate, zoom_type, store_privacy, path, Markdown, Structure, zoom_density, action, Ctime, zoom_menu, exclude, final_output, truncate_mode, lens, Desc, zoom_redo, Mtime, call_analyzer, original_symbol_name, zoom_session, budget_strategy, impl From<CliMetadataMode> for pm_encoder::MetadataMode, marker_overhead, content_tokens, mut seen, stream, strategy_str, end, init_prompt, truncate_stats, marker"
../../rust/src/budgeting.rs,28443,946,67,44,146,42,0.42424242424242425,1.0,0.42424242424242425,0.5957446808510638,,"truncated_count, (_selected, report), mut dropped_files, original_tokens, (selected, report), (final_content, method), included_files, path_obj, priority, has_core, (_, report_truncate), tier_a, tokens, (_, report_hybrid), (number_part, multiplier), last_char, content, path, budget_threshold, selected_paths, path_str, strategy, _, has_other, (truncated_content, was_truncated), new_tokens, mut dropped, budget, report, dropped_files, number, python_content, value, (selected, _report), mut selected, s, mut lens_manager, truncated_list, group_config, impl TokenEstimator, selected_count, (truncated, was_truncated), (_, report_drop), dropped_count, impl BudgetReport, lens_manager, files, tier_b, mut truncated_count, estimation_method, overhead, mut result, mut included_files, full_count, used, mut total_tokens, mut file_data"
../../rust/src/lenses.rs,52081,3998,82,83,240,81,0.5547945205479452,1.0,0.5547945205479452,0.7136563876651982,,"default_config, config, path_str, name, ts_priority, include, mut highest_priority, file_str, remaining, includes, mut manager, manager, remaining_name, priority_normal, js_priority, mut best_match, truncate_mode, active_lens, prefix, ext, include_patterns, parts, built_in, arch_lens, impl LensManager, sort_by, mut lenses, applied, score, priority_frozen, ignore_patterns, mut custom1, _, custom, truncate_lines, mut custom_lenses, suffix, security_lens, sort_order, context_store, truncate, mut built_in, static_priority, pattern, fallback_priority, result, groups, lenses, priority, impl Default for LensManager, lens_config, json_priority, mut custom2, lens_names, frozen, lens, description, group, exclude, fallback, cargo_priority, debug_lens, mut store, file_name, minimal_lens"
../../rust/src/lib.rs,154756,30123,192,205,679,187,0.5267605633802817,0.9790575916230366,0.5327635327635327,0.6900369003690037,"set_value, add, process, main","serialized, _, processed, imports_str, latin1_bytes, total_lines, mut config, (_result, truncated), kept, (processed_content, was_truncated), engine, age_days, skeleton_mode, mut handle, was_truncated, mut marker, content, omitted, latin1, utf8, PlusMinus, priority, token_budget, path, pf, mut last_line, (truncated, was_truncated), (result, _), md5, cr, truncate_stats, text, stdout, crlf, escaped_content, lines, zoom_cmd, allow_sensitive, files, metadata, buffer, large_text, path_lower, partial, ext, mut signature_lines, z_pos, kept_lines, size, check_len, xml_config, python_with_imports, mut engine, now, mut result, mut content, original_lines, file, impl EncoderConfig, (result, was_truncated), impl OutputFormat, frozen, binary_with_null, stream, truncate_exclude, mtime, include_patterns, file_size, marker, max_file_size, impl ContextEngine, root_path, temp_dir, component, kept_count, mut output, lens, (content, truncated), metadata_mode, markdown, rel_path, python, active_lens, mut header, (trunc, _), Markdown, wasm_config, metadata_attrs, lens_manager, truncated, config_path, empty, final_lines, keep_last, mut lens_manager, binary, (content, was_truncated), first_end, truncate_summary, trimmed, mixed, language, python_code, parts, mut buffer, disabled_config, ctime, entry, line_num, link_pattern, impl Default for EncoderConfig, tokens, analysis, rust_code, file_inputs, reduced_pct, attention_entries, ClaudeXml, crlf_content, budget_strategy, with_null, path_str, mut lines, enabled_config, mut links, lang, (truncated, _), sort_by, hash, last_start, output_format, result, output, metadata_suffix, matcher, mut writer, binary_control, patterns, b_pos, sort_order, mut attention_entries, truncate_lines, truncate_mode, original_tokens, has_correct_format, mut important_lines, utilized, a_pos, config, err, is_desc, (result, truncated), gap_size, auto_config, Xml, ignore_patterns, ignore_patterns_clone, keep_first, mut sorted_entries, safe_content, mut truncated, root_path_clone, mut sorted, entries"
../../rust/src/formats/mod.rs,299,92,53,1,1,1,1.0,1.0,1.0,1.0,,
../../rust/src/formats/xml_writer.rs,31928,1351,64,64,194,59,0.5462962962962963,0.9672131147540983,0.5566037735849056,0.7065868263473054,"From, std","tokens, without_drive, xml_err, path, impl Default for XmlConfig, io_err, result, lens_pos, output, Io, impl std::fmt::Display for XmlError, frozen, truncated, package_pos, mut writer, high, critical, escaped, utility_score, impl From<io::Error> for XmlError, config, input, display_path, entries, snapshot_id, priority, token_pos, _, mut output, utilized_tokens, display, impl std::error::Error for XmlError, InvalidState, dropped, in_files_section, inner, mut normalized, mut attrs, allow_sensitive, impl XmlWriter<W>, token_budget, package, version, writer, timestamp, lens, xml"
../../rust/src/server/mod.rs,48591,2213,74,66,281,64,0.48484848484848486,1.0,0.48484848484848486,0.653061224489796,,"arguments, engine, impl McpServer, call_analyzer, text, content, mut config, result, stdin, tool_names, session_path, callers, _, tools, reason, jsonrpc, request, (target_type, target_value), mut stdout, initialized, project_root, temp_dir, range, mut server, impl JsonRpcResponse, store_path, mut seen, message, sessions, method, mut callees, mut target, utility, mut lens_manager, path, code, data, name, skeleton, menu_items, valid_calls, resp, line, target_str, resolved_name, current, params, start, response, usage_finder, resolver, related, lens, description, tool_name, json, req, id, response_str, end, format, token_budget, is_notification, zoom_config, mut store, err, server, parts"
../../rust/src/init.rs,22230,344,63,20,112,20,0.2777777777777778,1.0,0.2777777777777778,0.4347826086956522,,"meta_header, context_path, default_ignores, temp, applied_lens, root_path, context_bytes, ext, ignore, project_name, mut entries, canonical_path, instruction_filename, mut commands, a_name, s, mut result, chars, commands, checksum, tree, instruction_content, timestamp, context, instruction_path, name, claude_md, mut content, instructions, tree_ignore, child_prefix, config, file_count, context_lines, name_str, is_last, _, count, b_name, a_is_dir, tree_str, context_content, mut lens_manager, mut merged_ignores, is_dir, b_is_dir, bytes_str, connector, entries, serialized_content, mut lines, result"
